Name,State,Address,City,State Zipcode,Contact,latitude,longitude,geocoding_status
United Food Bank,Arizona,245 South Nina Drive,Mesa,AZ 85210,480-926-4897,33.4098257,-111.8503169,success
St. Mary's Food Bank Alliance,Arizona,2831 N. 31st Avenue,Phoenix,AZ 85009,602-242-3663 / 602-344-4124,33.4790395,-112.124838,success
Community Food Bank of Southern Arizona,Arizona,3003 South Country Club Road,Tucson,AZ 85713,520-622-0525,32.1887366,-110.9250603,success
Yuma Community Food Bank,Arizona,2404 E 24th St. Ste. A,Yuma,AZ 85365,928-343-1243,32.6848298,-114.5933474,success
Arizona Food Bank Network,Arizona,340 E Coronado Road,Phoenix,AZ 85004-1524,602-528-3434 / info@azfoodbanks.org,33.4680478,-112.0676664,success
Midwest Food Bank of Arizona,Arizona,725 E. Baseline Road,Gilbert,AZ 85233,480-892-0134,33.378234,-111.8173775,success
Food Bank of Alaska,Alaska,825 E 7th Ave,Anchorage,AK 99501,(907) 561-3737,61.2158004,-149.867922,success
Fairbanks Community Food Bank,Alaska,725 26th Ave,Fairbanks,AK 99701,(907) 457-4273,64.823005,-147.716671,success
Juneau Food Bank,Alaska,8617 Teal St,Juneau,AK 99801,(907) 789-9780,58.3601762,-134.5753103,success
Southeast Alaska Food Bank,Alaska,229 Fourth St,Juneau,AK 99801,(907) 723-6110,58.3022986,-134.4087054,success
Food Bank of Northeast Arkansas,Arkansas,3414 One Place,Jonesboro,AR 72402,870-932-3663,35.8039129,-90.6479772,success
River Valley Regional Food Bank,Arkansas,1617 S Zero St,Fort Smith,AR 72901,479-785-0582,35.3286751,-94.41761059999999,success
Arkansas Foodbank,Arkansas,4301 Asher Ave,Little Rock,AR 72204,501-372-2200,34.7240955,-92.322008,success
Northwest Arkansas Food Bank,Arkansas,1378 Simon Rd,Springdale,AR 72764,479-872-8778,36.2101275,-94.00127,success
Food Bank of the Rockies,Colorado,10700 E 45th Ave,Denver,CO 80239,303-371-9250,39.7777161,-104.8637146,success
Care and Share Food Bank for Southern Colorado,Colorado,2605 Pikes Peak Ave,Colorado Springs,CO 80909,719-528-1500,38.8326729,-104.7805093,success
Weld Food Bank,Colorado,1108 H St,Greeley,CO 80631,970-356-6461,40.4436776,-104.698802,success
Community Food Share,Colorado,2305 S 114th St,Lafayette,CO 80026,303-652-3663,39.9935959,-105.0897058,success
Connecticut Foodshare,Connecticut,2 Research Parkway,Wallingford,CT 06492,203-230-1213,41.48105200000001,-72.765537,success
Food Bank of Lower Fairfield County,Connecticut,461 Glenbrook Rd,Stamford,CT 06906,203-358-8898,41.0689861,-73.52003169999999,success
Food Bank of Delaware,Delaware,222 Lake Dr,Newark,DE 19702,302-292-1300,39.613557,-75.75444970000001,success
Capital Area Food Bank,District of Columbia,4900 Capital Ct SW,Washington,DC 20032,202-644-9800,38.8964972,-77.002672,success
Harry Chapin Food Bank of the Harry Chapin Foundation,Florida,3760 Fowler St,Fort Myers,FL 33901,239-334-7007,26.6073116,-81.8631675,success
Feeding South Florida,Florida,2501 SW 32nd St,Pembroke Park,FL 33023,954-518-1818,25.987854,-80.1733821,success
Second Harvest Food Bank of Central Florida,Florida,411 Mercy Dr,Orlando,FL 32805,407-295-1088,28.54824,-81.42944469999999,success
Feeding Tampa Bay,Florida,4702 Transport Dr,Tampa,FL 33615,813-254-1190,27.9588454,-82.4070627,success
Atlanta Community Food Bank,Georgia,3400 N Desert Dr,Atlanta,GA 30344,404-892-9822,33.6608235,-84.4952771,success
