Name,State,Address,City,State Zipcode,Contact
United Food Bank,Arizona,245 South Nina Drive,Mesa,AZ 85210,480-926-4897
St. Mary's Food Bank Alliance,Arizona,2831 N. 31st Avenue,Phoenix,AZ 85009,602-242-3663 / 602-344-4124
Community Food Bank of Southern Arizona,Arizona,3003 South Country Club Road,Tucson,AZ 85713,520-622-0525
Yuma Community Food Bank,Arizona,2404 E 24th St. Ste. A,Yuma,AZ 85365,928-343-1243
Arizona Food Bank Network,Arizona,340 E Coronado Road,Phoenix,AZ 85004-1524,602-528-3434 / info@azfoodbanks.org
Midwest Food Bank of Arizona,Arizona,725 E. Baseline Road,Gilbert,AZ 85233,480-892-0134
Food Bank of Alaska,Alaska,825 E 7th Ave,Anchorage,AK 99501,(907) 561-3737
Fairbanks Community Food Bank,Alaska,725 26th Ave,Fairbanks,AK 99701,(907) 457-4273
Juneau Food Bank,Alaska,8617 Teal St,Juneau,AK 99801,(907) 789-9780
Southeast Alaska Food Bank,Alaska,229 Fourth St,Juneau,AK 99801,(907) 723-6110
Food Bank of Northeast Arkansas,Arkansas,3414 One Place,Jonesboro,AR 72402,870-932-3663
River Valley Regional Food Bank,Arkansas,1617 S Zero St,Fort Smith,AR 72901,479-785-0582
Arkansas Foodbank,Arkansas,4301 Asher Ave,Little Rock,AR 72204,501-372-2200
Northwest Arkansas Food Bank,Arkansas,1378 Simon Rd,Springdale,AR 72764,479-872-8778
Food Bank of the Rockies,Colorado,10700 E 45th Ave,Denver,CO 80239,303-371-9250
Care and Share Food Bank for Southern Colorado,Colorado,2605 Pikes Peak Ave,Colorado Springs,CO 80909,719-528-1500
Weld Food Bank,Colorado,1108 H St,Greeley,CO 80631,970-356-6461
Community Food Share,Colorado,2305 S 114th St,Lafayette,CO 80026,303-652-3663
Connecticut Foodshare,Connecticut,2 Research Parkway,Wallingford,CT 06492,203-230-1213
Food Bank of Lower Fairfield County,Connecticut,461 Glenbrook Rd,Stamford,CT 06906,203-358-8898
Food Bank of Delaware,Delaware,222 Lake Dr,Newark,DE 19702,302-292-1300
Capital Area Food Bank,District of Columbia,4900 Capital Ct SW,Washington,DC 20032,202-644-9800
Harry Chapin Food Bank of the Harry Chapin Foundation,Florida,3760 Fowler St,Fort Myers,FL 33901,239-334-7007
Feeding South Florida,Florida,2501 SW 32nd St,Pembroke Park,FL 33023,954-518-1818
Second Harvest Food Bank of Central Florida,Florida,411 Mercy Dr,Orlando,FL 32805,407-295-1088
Feeding Tampa Bay,Florida,4702 Transport Dr,Tampa,FL 33615,813-254-1190
Atlanta Community Food Bank,Georgia,3400 N Desert Dr,Atlanta,GA 30344,404-892-9822
Food Bank of Northeast Georgia,Georgia,864 Commerce Rd,Athens,GA 30607,706-354-8292
America's Second Harvest of Coastal Georgia,Georgia,2501 E President St,Savannah,GA 31404,912-236-6751
Golden Harvest Food Bank,Georgia,331 Augusta Ave,Augusta,GA 30901,706-722-7283
Hawaii Foodbank,Hawaii,2616 Kilihau St,Honolulu,HI 96819,808-836-3600
The Food Basket Hawaii Island's Food Bank,Hawaii,40 Holomua St,Hilo,HI 96720,808-933-6030
Idaho Foodbank,Idaho,2208 E 17th St,Boise,ID 83706,208-336-9643
Community Food Basket - Idaho Falls,Idaho,1575 W Broadway St,Idaho Falls,ID 83402,208-524-0992
Food Bank of Northern Illinois,Illinois,273 Dearborn St,Geneva,IL 60134,630-443-6960
Greater Chicago Food Depository,Illinois,4100 S Cicero Ave,Chicago,IL 60632,773-247-3663
Central Illinois Foodbank,Illinois,1924 E Sangamon Ave,Springfield,IL 62702,217-522-6883
Hoosier Hills Food Bank,Indiana,2333 W Industrial Park Dr,Bloomington,IN 47404,812-334-8374
Food Bank of Northeast Indiana,Indiana,702 Webster St,Fort Wayne,IN 46802,260-747-0596
Gleaners Food Bank of Indiana,Indiana,3737 Waldemere Ave,Indianapolis,IN 46241,317-925-0191
Food Bank of Iowa,Iowa,2220 E 17th St,Des Moines,IA 50316,515-440-4700
HACAP Food Reservoir,Iowa,1555 35th St,Marion,IA 52302,319-366-7999
River Bend Food Bank,Iowa,901 6th St,Moline,IL 61265,563-345-6490
Harvesters - The Community Food Network,Kansas,3801 Topping Ave,Kansas City,MO 64129,816-929-3000
Kansas Food Bank,Kansas,1919 E Douglas Ave,Wichita,KS 67211,316-264-7979
God's Pantry Food Bank,Kentucky,1685 Jaggie Fox Way,Lexington,KY 40511,859-255-6492
Dare to Care Food Bank,Kentucky,5803 Fern Valley Rd,Louisville,KY 40228,502-966-7332
Feeding America Kentucky's Heartland,Kentucky,1054 Industrial Park Rd,Elizabethtown,KY 42701,270-769-6997
Food Bank of Central Louisiana,Louisiana,302 Food Bank Ln,Alexandria,LA 71302,318-445-2771
Food Bank of Northeast Louisiana,Louisiana,4600 S 2nd St,Monroe,LA 71202,318-322-3568
Second Harvest Food Bank of Greater New Orleans and Acadiana,Louisiana,700 Edwards Ave,Jefferson,LA 70121,504-734-1322
Greater Baton Rouge Food Bank,Louisiana,10600 S Choctaw Dr,Baton Rouge,LA 70815,225-357-9916
Good Shepherd Food Bank of Maine,Maine,317 St John St,Auburn,ME 04210,207-782-3554
Wayside Food Programs,Maine,136 Washington Ave,Portland,ME 04101,207-775-4939
Maryland Food Bank,Maryland,2201 Eagle St,Baltimore,MD 21223,410-737-8282
Capital Area Food Bank,Maryland,4900 Capital Ct SW,Washington,DC 20032,202-644-9800
The Greater Boston Food Bank,Massachusetts,70 South Bay Ave,Boston,MA 02118,617-427-5200
Food Bank of Western Massachusetts,Massachusetts,97 North Hatfield Rd,Hatfield,MA 01038,413-247-9780
Merrimack Valley Food Bank,Massachusetts,57 Inman St,Lawrence,MA 01841,978-454-7276
Food Bank of Eastern Michigan,Michigan,230 Food Bank Dr,Flint,MI 48506,810-239-4441
Gleaners Community Food Bank of Southeastern Michigan,Michigan,2131 Beaufait St,Detroit,MI 48207,313-923-3500
Feeding America West Michigan,Michigan,864 W River Center Dr NW,Comstock Park,MI 49321,616-784-3250
Second Harvest Heartland,Minnesota,1149 Pierce Butler Route,St Paul,MN 55104,651-484-5117
Mississippi Food Network,Mississippi,201 N Gallatin St,Jackson,MS 39203,601-353-7292
Food Bank of Central & Northeast Missouri,Missouri,2101 Vandiver Dr,Columbia,MO 65202,573-474-6500
Harvesters - The Community Food Network,Missouri,3801 Topping Ave,Kansas City,MO 64129,816-929-3000
St. Louis Area Foodbank,Missouri,70 Corporate Woods Dr,Bridgeton,MO 63045,314-292-6200
Montana Food Bank Network,Montana,5625 Highway 93 S,Missoula,MT 59804,406-721-3825
Food Bank of Lincoln,Nebraska,4840 Doris Bair Cir,Lincoln,NE 68504,402-466-8170
Food Bank for the Heartland,Nebraska,10525 J St,Omaha,NE 68137,402-331-1210
Three Square Food Bank,Nevada,4180 N Pecos Rd,Las Vegas,NV 89115,702-644-9777
Food Bank of Northern Nevada,Nevada,550 Industrial Rd,Sparks,NV 89431,775-331-3663
New Hampshire Food Bank,New Hampshire,70 Hackett Hill Rd,Manchester,NH 03102,603-669-9724
Community FoodBank of New Jersey,New Jersey,33 2nd Ave,Hillside,NJ 07205,908-355-3663
Food Bank of South Jersey,New Jersey,501 N Kings Hwy,Pennsauken Township,NJ 08109,856-662-4882
Roadrunner Food Bank,New Mexico,5840 Office Blvd NE,Albuquerque,NM 87109,505-349-5300
The Food Bank of Western New York,New York,91 Holt St,Buffalo,NY 14206,716-852-1305
Food Bank For New York City,New York,355 Food Center Dr,Bronx,NY 10474,212-566-7855
Regional Food Bank of Northeastern New York,New York,965 Albany Shaker Rd,Latham,NY 12110,518-786-3691
Food Bank of Central & Eastern North Carolina,North Carolina,1924 Capital Blvd,Raleigh,NC 27604,919-828-0824
